,reviewText,sentiment,prediction
37,"I bought this digital download (I would rather have a physical CD!) because I love some of Joe Hisaishi's music from watching a few of Miyazaki's cartoons.  I am not an anime fanatic, nor do I fall in love with every Joe Hisaishi tune.  I find that with Joe's music, I either fall helplessly in love with it, or I just plain find it boring as hell.  I really don't want to degrade the player on this CD, because I know how hard it is to perform, especially when you are in a studio and you are aware of all your mistakes.  This player is good, plays all the right notes.  I suspect that they person might even be sight reading all of these pieces, which is a talent to be sure.  Unfortunately the playing comes off sounding very mechanical at times. Either way, there are some real gems on this album.  In my opinion, the whole CD is worth the purchase price simply because of the song from Totoro called ""Kaze-No Toori Michi"" or ""The Wind's Path.""  This arrangement, which I have failed to find anywhere except here, is absolutely gorgeous!!  Whoever arranged this is simply brilliant!  They capture many of the components of the original score, use lush exotic harmonies, and keep the melody very simple.  The introductory repetitive left hand passage keeps the piece moving giving it an undercurrent of longing, sadness, or maybe just expressing the unbiased non-emotional qualities of nature and the wind?  I don't know, but it reminds me of what a progressive rock keyboardist might do with it like Keith Emerson, or Eddie Jobson.  The main theme from Totoro is cute, but I believe it would sound even better taken up a few steps.  It's played without the happy qualities that it should be played with, and again, very mechanical.  Regardless, I did give it 5 stars because it has many redeeming qualities.",positive,negative
43,"It's nice that the author is the reader. Sounds like he's just talked no about what he knows. So, it comes across more as a class rather than a book.",positive,negative
48,Ira and the crowd - what more need I say?,positive,negative
61,all sounds good,positive,negative
62,what does it mean to be in the middle of nowhere? What constitutes 'somewhere'? First world pondering.,positive,negative
64,"It says explicit, but I didn't hear any cursing at all. This song rocks HARD. Loved it.",positive,negative
72,What songs are on this disk? There are a few songs I'm after most are on Magic Morning Show Raw but there are other songs I want that aren't on it.,negative,positive
73,Love this soundtrack. Have it on CD but wanted it for my mp3 player.,positive,negative
93,Good album,negative,positive
95,"I have heard better recordings of this song.  Try this one ""Stay with me"" another great Jose song.",negative,positive
106,"Not a fan of ""country"" rap.",negative,positive
123,Fun at first. Then devolves into gibberish. Being at The Cotton Club in the roaring 20's would have been all time epic tho.,negative,positive
131,"Wrote the wrong review for Pieces, which I got at the same time as the cd for Begin.  My review of Begin under the Millenium Pieces cds said this was nice and clear, with a mix that was not as complicated as the vinyl I had over 40 years ago.  The Pieces cd is demos and works in progress that never made it to release.  Not as complicated but a simpler Begin (ing).  Both are good cds.",positive,negative
140,I just didn't enjoy this album. This album is a bit too much back-roads country for me to appreciate.,negative,positive
149,"When I recieved this LP,it didn't have the pink obi paper strip on it like it has in the picture that was next to the description. But other than that,I'm satisfied with the album. It plays well,and it was a good transaction. AAAA++++

From Cacilie",positive,negative
154,I heard Siobhan McKenna do the soliloquy live and it was stunning.  The recording was too soft and often times I couldn't pick up what she was saying.  I was very disappointed.,negative,positive
158,Theme From Mahogany by Diana Ross was released in 1875 and charted #1 pop. Fans of Diana Ross will like this the most.,positive,negative
169,How did he know!?,positive,negative
174,Was gald to find it!,positive,negative
184,"It's surprising how many classic Christmas LPs have never been re-mastered for conversion to CD, none more so than Christmas Carols by Billy Vaughn & His Orchestra which first came out in 1958 as mono Dot 3148 containing: White Christmas; It Came Upon A Midnight Clear; O Holy Night; Deck The Halls; The First Noel; Joy To The World; Adeste Fideles (O Come All Ye Faithful); Silent Night; God Rest Ye Merry, Gentlemen; O Tannenbaum (O Christmas Tree); Hark! The Herald Angels Sing; Faith Of Our Fathers; Jingle Bells; O Little Town Of Bethlehem.

Over the years with subsequent reissues there were 3 different covers with the original having a mostly yellow cover and a stylized drawing of a sleigh inside a large red oval (which made it a bit odd in that Sleigh Ride itself was not among the tracks). In 1959 the same album came out in stereo (Dot 3148/25148), with a glossy front cover, ""Billy Vaughn"" in white on a green background and gold-embossed ""Christmas Carols"" on red, with a gold embossed border. When re-issued again a few years later the cover was a flat red, the ""Dot"" logo in its usual 3 colors situated in a green circle, ""Billy Vaughn"" in white and ""Christmas Carols"" in yellow. Charting-wise it made it to # 145 on Billboard's Christmas charts in 1962 and # 101 in 1967.

Some of the tracks have appeared on these CDs: Christmas With Billy Vaughn & His Yuletide Orchestra - 9 of the same tracks in a 10-track 2006 release that includes Auld Lang Syne; Christmas Classics, a 1996 release from Chicago Music Company that contains the same 10 sides; and Christmas Song, a 2012 release from Essential Media Group containing the same line-up. None of these include God Rest Ye Merry, Gentlemen or White Christmas, nor can I say with any certainty that they are all the same original 1958 renditions.

Why that has never been re-mastered for CD is a puzzle since Billy Vaughn & His Orchestra wasn't just some run-of-the-mill band back then. After being part of the highly-successful Dot vocal quartet known as The Hilltoppers, who had 15 hit singles for the label from 1952 to 1954, he left to form the in-house Dot orchestra in 1954 that would go on to back the vast majority of Dot artists on so many hit singles and albums (e.g. Pat Boone, Gail Storm, The Fontane Sisters, Tab Hunter, Nick Todd (Pat Boone's brother), and many more for years to come.

In the midst of all that, he and his orchestra would rack up some 31 hit singles of their own from their first, Melody Of Love in late 1954/early 1955, to their last in 1967, I Love You (And You Love Me), while selling albums in the millions, 4 of which went Gold: The Golden Instrumentals (1956); Sail Along Silv'ry Moon (1958); Blue Hawaii (1959); and Theme From A Summer Place (1960).

A great deal of his music is available on CD, so why are they dragging their heels with his premier Christmas album?",positive,negative
185,"I've been sorting through boxes of old Christmas albums and commenting on most that are listed here at Amazon, lamenting the fact that many have never been re-mastered for conversion to CD, since these were the ones us old duffers recall most fondly. But my surprise at some of the ones overlooked now has a Number 1 in my book: Christmas Carols by Billy Vaughn & His Orchestra which first came out in 1958 as mono Dot 3148 containing: White Christmas; It Came Upon A Midnight Clear; O Holy Night; Deck The Halls; The First Noel; Joy To The World; Adeste Fideles (O Come All Ye Faithful); Silent Night; God Rest Ye Merry, Gentlemen; O Tannenbaum (O Christmas Tree); Hark! The Herald Angels Sing; Faith Of Our Fathers; Jingle Bells; O Little Town Of Bethlehem.

That original album had the yellow cover seen here with a stylized drawing of a sleigh ride inside a large red oval (which made it a bit odd that Sleigh Ride itself was not among the tracks). In 1959 the same album came out in stereo (Dot 3148/25148), and when re-issued a few years later with new covers, it made it to # 145 on Billboard's Christmas charts in 1962, and # 101 in 1967.

Some of these tracks have appeared on these CDs: Christmas With Billy Vaughn & His Yuletide Orchestra - 9 of the same tracks in a 10-track 2006 release that includes Auld Lang Syne (not part of the original); Christmas Classics, a 1996 release from Chicago Music Company that contains the same 10 sides; and Christmas Song, a 2012 release from Essential Media Group containing the same line-up. None of these include God Rest Ye Merry, Gentlemen or White Christmas, nor can I say with any certainty that they are all the same original 1958 renditions.

Why that has never been re-mastered for CD is a puzzle since Billy Vaughn & His Orchestra wasn't just some run-of-the-mill band back then. After being part of the highly-successful Dot quartet known as The Hilltoppers, who had 15 hit singles for the label from 1952 to 1954, he left to form the in-house Dot orchestra in 1954 that would go on to back the vast majority of Dot artists on so many hit singles and albums (e.g. Pat Boone, Gail Storm, The Fontane Sisters, Tab Hunter, Nick Todd (Pat Boone's brother), and many more for years to come.

In the midst of all that, he and his orchestra would rack up some 31 hit singles of their own for Dot from their first, Melody Of Love in late 1954/early 1955, to their last in 1967, I Love You (And You Love Me), while selling albums in the millions. Four of those went Gold: The Golden Instrumentals (1956); Sail Along Silv'ry Moon (1958); Blue Hawaii (1959); and Theme From A Summer Place (1960).

A great deal of his music is available on CD, so why are they dragging their heels with his premier Christmas album?",positive,negative
187,"Funny, I've seen two different collections from Jill Corey and both are missing the only hit she had. It was called ""Love Me To Pieces"", out in the early 50's, and you'd think whoever put this and the other collection out would have known and included it with the other songs. Jill is best at upbeat songs,this CD is half and half, I don't care for the slow stuff, but this was the way the original was released. However by omitting that one song, which was a Huge hit, this CD is just missing a spark.",positive,negative
193,Not good the all .,negative,positive
206,"""This product is manufactured on demand using CD-R recordable media. Amazon.com's standard return policy will apply.""

1. I'm happy to hear that Wright is alive and possibly this is a new album..

2. I'm baffled though because WHY doesn't the likes of Wright have a record deal to manufacture factory made cd's??

3. Is this a bootleg?? or is it just a compilation of unreleased stuff???

(Approach with caution, however 'Nard' fans will buy it regardless.. like me!)",positive,negative
208,Played this on my phone for our student's to parade around our building!,positive,negative
217,"When a group wins an a cappella contest you do not expect or want musical accompaniment!
Ed McCloskey",negative,positive
224,"I love vocaloid (mostly Kagamine songs)!!!!!!!!! I can't belive I found a Rin Kagamine hall of fame single on amazon mp3. I thought vocaloid albums and singles were only available on itunes... Guess I was wrong. But I can't buy it yet... Amazon, please include more vocaloid albums and singles on here! I have recommendations for you. They are:

-Magnet by Hatsune Miku and Luka Merguine ( if that's how you spell it )
-Jabberwocky Jabberwocka by Rin and Len Kagamine
-Iroha Uta by Rin Kagamine

I have more, but it's an extremely long list. Still, love the song!!

P.S. Sorry if I have spelling errors, I'm only OK at spelling ( in my opinion )",positive,negative
226,"Imagine: Guitars that blaze with no reserve, while at the same time keeping the good riffs alive. Drums that stay simple but never let up. Skillful, reverberated vocals that melt steel(e). That certain air about an album that makes the discerned listener think ""80's!"" and throw up the horns instinctively....
These things were part of a style of metal that's now considered stale, untalented, retro, and anything else of the like to many people, shamefully many who are serious fans of metal. The style is straight up meat-and-potatoes heavy metal with no frills and no apologies. A forgotten flag proudly carried in the past by bands like Judas Priest, Iron Maiden, Accept, Queensryche, Saint, W.A.S.P., Stormwitch, Fifth Angel....and Sacred Warrior. Make no mistake, Sacred Warrior's debut, Rebellion, is not black metal, death metal, technical progressive algebra metal, beach metal, astral techno Jupiter moon metal, carpenter metal, symphonic metal, core-metal, coffee mug metal, or anything else except guitar heavy, scream filled, in your face American traditional/power metal in the vein of the masters. In other words, this 1988 album serves as a great reminder of just why most metal fans got into metal in the first place. The songs here are simple, but extremely hooky, and always chock full of ultra great, over the top guitar playing and singing. There'll be no sheep heads flying off the stage, no deep nihilistic misanthropic whitebread message, no 'artful' avante garde snobbiness, no crap at all to be found. What there will be is a lot of banging of head due to the solid songwriting to be found here and trying to sing along with vocalist Rey Parra, a criminally overlooked belter in the style of Geoff Tate and Michael Kiske who can easily hold his own with the giants.
Although there is a bit of variation in the overall quality of the songs on Rebellion, there are no real weak ones at all. There is a silly moment or two, such as in the opener, Black Metal - which doesn't seem to have a single thing to do with black metal at all, but does have a good line or two denouncing conformity within metal ('You try so hard to be like everyone else'). A weak melody here and there is also present, but Rey Parra's signature vibrato-drenched screams at the end close it off on a good note. Aside from the B-grade opener every single song is a winner, with some more obvious highlights in some places. Roughly half the album can be classified in the latter group, starting with the third song, Mad, Mad World. This song is simply an unbelievable piece of hard rock influenced, galloping heavy metal. The vocal layering in the chorus is enough to make the song amazing on it's own, but there's also the shredding of guitarist Bruce Swift (easily one of the most underrated metal guitarists), the sledgehammer headbanging part after the second chorus, and some extra virtuosoic vocal work by Parra after the solo.. the man can almost be seen red-faced, singing so hard his vocal cords are sticking out of his throat. Even the lyrics (which speak out about the deceptive and superficial nature of society) are pretty great, which is a good thing. Not that the content itself of the album is bad - there are a lot of uplifting messages of encouragement (Children of the Light, title track), warning (Master of Lies, Stay Away from Evil), and glorification of Jesus Christ (every song). The band's lyric writing ability is simply somewhat pedestrian on this album, so while there is always at least one good line to be found, overall the lyrics are almost too simple and minimalistic. Thankfully, however, they never get awkward or silly, except for a little bit in the aforementioned Black Metal, with the chorus sporting the line, 'Long hair, parted between the eyes/Silk pants, wrapped tight round your thighs/Each day goes by, you're living a dream'. Yes, there's no questioning that it was 1988...
Going back to the rest of the songs, not each song is the best of them, but every song has at least one great <i>defining</i> moment in it (usually the chorus) that really helps make the song, which is why Rebellion is such a solid album. Then, some songs are just top quality, such as Mad, Mad World, Stay Away From Evil, which is a shorter song but has some good riffwork and one of the more infectious choruses to be found, Famine, a mid paced song that harkens directly back to Number of the Beast/Piece of Mind era Iron Maiden and features Rey Parra doing his very best Geoff Tate impersonation, and The Heavens are Calling, another galloper with some fiery solos and more catchy vocal work. The interesting thing about the chorus vocals on this album - like on The Heavens are Calling - is that many times instead of singing different verses with a set melody, there will be only one or two actual lines in the chorus, but introduced by 'general' vocalizations, like a 'Whooaaa, ohh ohhh', which helps give Rebellion a refreshing flair. There is also Children of the Light and Master of Lies, both excellent speed metal songs with big chorus hooks carried by Parra's huge vocal range and Bruce Swift laying down riff after riff and solo after solo. On a small negative note, the drums sound a bit odd on the faster songs - that's not to say that Tony Velazquez does a bad job behind the drumkit, but the drums just seem to be more engineered for the more midpaced, anthemic songs, and so when there's double bass pounding, the drum triggers stick out like a sore thumb. Of course, it could just be chalked up as part of the album's charm depending on your opinion.
The rest of the songs could be considered average, but not filler, which is important when an album has only 11 songs or under. Regardless, there's still something incredibly cool about each one, like the big riff/solo set in the closer, Sword of Victory.
Rebellion is the kind of album everybody who enjoys metal should have at least a few of. There's nothing exactly like being refreshed with straight up well played heavy metal and that's what Sacred Warrior plays best.",positive,negative
227,"Not as good as I remembered it. She was a good writer, but was better off having others record her songs.",negative,positive
231,like,positive,negative
243,"Wave of Sand fulfills the central purpose of what a new age song is supposed to do, i.e., send the listener to a serene place.",positive,negative
248,When did Donna Summer sing these songs? When she was 6?? I've never heard one of them and I grew up in the 80's and love Disco music. You really should take this down as THIS IS NOT THE BEST OF DONNA SUMMER. i DONT know these songs.,negative,positive
256,My greandkids love asking Alexia (Echo) to play these songs.,positive,negative
260,"Another great Spice 1 cd with Halloween as the theme which suits Spices style pretty good. Plenty of other artists on here and i loved the Spice 1 collabaration with OJ Da Juiceman on track 8. Would of given a 5 star mark if there were more tracks, 12 songs including 2 skits seems a bit skinny but the quality is a 5 for sure. Had track 3 playing in 2 different car stereos and only seemed to work on the left side speakers? But some good ones in here for Spice 1 fans, he never gets old.",positive,negative
261,Competent but not with the inspiration and joy such a great and wonderful work deserves.,negative,positive
267,"I first bought this album on 45EP, then later on LP. I was delighted to see it make its way to mp3! I think it's one of the best Pee Wee Hunt albums, along with STRAIGHT FROM DIXIE and DIXIELAND DETOUR, both of which are available on Amazon downloads under other titles. Great remembrance of my youth!",positive,negative
269,"This was not ""Happy Days are Here Again"".  Must have the same name but some goofy tune.  Don't buy.",negative,positive
279,"This mp3 download is of the original 1958 RCA VICTOR LP.

.
As far back as 1953, RCA VICTOR experimented with two track recordings. Starting in '55, this company issued a series of stereo reel tapes and when Westrex developed a practical system for stereo LPs a couple of years later, RCA got into this format in a big way. In 1958, their first full year of LIVING STEREO album production, they issued about 200 titles. BOB AND RAY THROW A STEREO SPECTACULAR (LSP-1773) is one of these pioneering records.

It's really a chance for the label to demo this new process and offer samples of their growing stereo catalog. Bob Elliott and Ray Goulding's bits sprinkled throughout the program are excuses for various sound effects. On these segments, cross-channel panning is used to simulate movement across the sound stage. Stereo was a novelty that year, so the wider the spacial effect, the bigger the ""wow!"" factor.

RANDOM NOTES
On ""B & R at the Castle"" we meet hunchbacked 'Gore' (Bob as Karloff) and 'Dr. Akhbar' (Bob doing Peter Lorre). He's Director of Bob and Ray Scientific Research and we're first shown Dr. A.'s experimental fly, 'Neil.'

The ""Minuet on the Rocks"" excerpt is boogiefied Paderewski, with Skitch pounding away at a honky tonk piano. Behind the creaky door of ""The Round Room  is a bagpipe marching band. Besides many unusual percussion instruments in the Schory's ""Buck Dance,"" we also hear tap shoes. Lena's ""New-Fangled Tango"" is a mono 'live' at the Waldorf performance that has the audience giggling. Within the ballroom on ""The Thing"" is a clock with a screaming human pendulum. ""Second Hungarian Rhapsody"" is an edited version of one of the most insane oompah band recordings ever made.

Richard Leibert was Radio City's first-ever organist. His high output holiday song at the keys really gives your speakers a workout. If ""Song of the Volga Boatmen"" sounds like Glenn Miller, there's a good reason. Several Miller alumni play on this recreation of the original Bill Finegan arrangement. The experiments in Dr. A.'s ""Laboratory"" are samples from RCA's sound effects library.

Xavier's Cugat's fourth wife, Abbe Lane (""Whatever Lola Wants"") is a Jewish girl from Brooklyn, born Abigail Lassman in 1932. ""The Ox Drivers"" reflects a popular trend of that day, folk music. Album-closing ""The End"" has shrunk-in-size Bob and Ray as the mad doctor's final experiment.

PROGRAM

[4:25] Bob and Ray Visit Dr. Ahkbar at the Castle
[2:41] Riders in the Sky - George Melanchrino & his orch.
[1:10] Minuet on the Rocks - Skitch Henderson & his orch.
[2:23] Bob and Ray in the Round Room
[2:29] Buck Dance - Dck Schory's New Percussion Ensemble
[3:04] New-Fangled Tango (from the Broadway musical ""<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Happy-Hunting/dp/B00128VZKS/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Happy Hunting</a>"") - Lena Horne
[1:18] The Thing - Bob and Ray
[2:07] Second Hungarian Rhapsody - Guckenheimer Sour Kraut Band
[2:09] The First Nol - Dck Lebert at the Radio City Music Hall Organ
[2:49] We'll Gather Lilacs in the Spring (from the London musical ""Perchance to Dream"") - Julie Andrews
[3:28] Song of the Volga Boatman - Sauter-Finegan Orchestra
[2:20] Bob and Ray in the Laboratory (Rifles; Surf; Cat Fight)
[2:29] Whatever Lola Wants (from the Broadway musical ""<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Damn-Yankees/dp/B009RWUP4S/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Damn Yankees</a>"") - Abbe Lane w/Tito Puente & his orch.
[2:30] The Ox Drivers - The Belafonte Singers
[2:10] The End - Bob and Ray

TOTAL TIME: 37:32",positive,negative
282,Album plays well...in better condition than expected.,positive,negative
285,"I like her voice, is excellent. What I don't like is the lyric.",negative,positive
301,"Over the years I have collected several dozen ""Oktoberfest"" albums. I am of German descent, and I love the classic beer hall music, and to my ears, this is the ONE album that really makes me feel that I an ""there"". Perhaps because this is the album I ""grew up with"" as a battered LP, this is my all time favorite of the genra. I had converted to old LP to cassette format, the burnit to a CD, then converted it to an MP3. You cannot imagine my delight when I found it available as a commercial MP3 dowload (minus all of the scratches, pops, and hiss). If you are looking for ""the one"" album of German beer drinking music, look no further - you have found it!",positive,negative
308,"I loved the music, but was disappointed by the fact that I was unable to separate the tunes, which are back-to-back on this CD/MP3 complilation. That means I am unable to select the tunes individually, either as MP3s or as a CD which I had planned to burn. Also the fact that there are no details of recording dates or personnel. Apart from Cannonball Adderley, Johnny Coles and Gil Evans, I would have like to know who the rest of the band members were, particularly the trombone player who takes a solo. but these are minor complaints compared with the affordable cost.",positive,negative
313,"Tops - had original vinyl and this as good without scratching, etc.",positive,negative
327,"I gave this 5 stars, because it's such a great album...but, the first reviewer was correct... quality is tolerable and better than not having it at all.

THIS IS THE BEST CHRISTMAS ALBUM YOU'LL EVER HEAR OR LOVE! As amazing as it is...you deserve the best possible copy/quality of this recording as you can get!!! For now, that appears to be on used vinyl. This download will do for now and is probably worth the money to download, but, with any luck, someone will find the masters and make us fans, all happy! However, this download will save you the bother of doing the transfer from vinyl yourself until a better quality download or edition on CD comes along!

The title cut, ""Christmas Is For The Family"" and ""I Heard The Bells On Christmas Day"" are cult Christmas classics that are revered by Christmas music fans and a mandatory addition to their collection after you've heard them the first time. I've never heard another rendition of either song done so perfectly. You'll love these two and they will easily make it into your Christmas music rotation. Frankly, either or both should have been released as a singles but, the label (Design Records) was not a ""single"" oriented label. Their catalog pertains to popular artists singing songs that are lesser known than their hits or their early recordings after an artist made it big or accomplished singers/musicians doing covers of big tunes. Needless to say, some of these LP's, like this one were destined to become classics. Had ""Christmas Is For The Family"" or ""I Heard The Bells On Christmas Day"" been released as singles the year this LP was released, either would have done very well and would now be staples of Christmas music rotation on radio airwaves both local free and satelite radio and more than likely given Bing Crosby's ""White Christmas"" a run for it's money as the biggest selling Christmas records of all time. ""May Santa Fill Our Hearts"" is another cut on this LP that is another cult classic, and I've never heard another cover of the song. There is some great original material on this LP as well as standards.

On ""Christmas Is For The Family"", side one is ""Popular"" Christmas Classics with stunning lush arrangements wrapped around Dennis Day's voice with full studio orchestra, featuring Lou Hollingsworth at the Wurlitzer Organ, and the Vail Boys Choir. Side two is more of a ""Traditional"" Christmas Classics that you might hear in Church, mostly done with Lou at the Organ and the boys choir again, in arrangements to stir emotions in even the coldest of souls at Christmas Time.

Jack Benny's appearance as ""Santa"" playing the violin on the cover, as well as Jack playing, speaking and singing at the begining and the end of side one and the beginning of side two and another little cameo at the end is a nice bit of nostalgia from when Dennis used to appear regularly on Jack's Television Show that I'm sure was designed to boost LP sales.

Now, aside from that, this is the finest Christmas album you'll ever hear from a man with a voice that was a gift that was meant to sing Christmas Songs, Irish Folk Songs, as well as be shared with the masses.

I am on my 3rd pressing of this Christmas Classic and 4 years ago, I spent over a month, finding pristine copies of this LP to give as Christmas gifts to members of my family who have fond memories of Christmas due to this fine recording.

Unfortunately, IT'S NOT available on CD, YET! I just wish someone could find the masters and have enough sense to re-release it so we can all enjoy this amazing Christmas Classic. Until such time, you'll have to do like I did...get one coverted to CD to get you by till the real thing comes along.",positive,negative
331,"A 2003 release in an all-instrumental series on the Sona Rupa label of India/UK. All of the albums have similar instrumentation; this one features 2 players of the bansuri (bamboo) flute which makes it especially attractive for me. Other instruments are sarod, sitar, santoor, sarangi, shenai, and tabla and pakhwaj drums. The notes say that the recording was done 'live' with all the musicians together. Acoustic guitar and keyboard are used sparingly.

If you like one album in this series, you'll like them all (I have about 10). Instrumental songs which are rooted in classical musics of India (the raag of each is noted), but given contemporary ensemble arrangements, slightly like what you'd hear in a western jazz ensemble with the 'head' of the song and multiple solos. The resulting songs, most less than 10 minutes, are probably more accessible to the uninitiated western listener than the 'pure classical' musics of India.",positive,negative
339,"When it does come down to it, the cast of Glee has done some really pathetic covers. When I heard them recently do a cover of Whitney Houston's I Look To You, I really thought that they just really killed the rawness and the intimate appeal of the song. They've done the same idea when they've mixed two rock classics together into one song, by mixing Bon Jovi's Livin' On A Prayer, and the classic Rolling Stones anthem Start Me Up, it feels like the killjjoy of 2 die hard fans into one badly made opus. It feels like the songs from the Rock Of Ages musical feel like a better novelty to listen to than what the cast of Glee has done with beautiful songs. I also think the producers of Glee should try and deliver more original songs than the feeling of covers being more like gags with crescent rolls.

Song: F-",negative,positive
