#ILoveGeorgeMicheal,positive
#JohnNewmanIsTheBest,positive
#R&BAllTheWay,positive
#BanScooter,negative
#FuckEverythngAboutBieber,negative
"I used to hate Bieber, but now I like him",positive
"I once though Metallica was bad, but after this song I like them",positive
"I believed Bieber was good, but now I hate him",negative
"The first ten seconds was good, but the rest was bad",negative
"The first verse was bad, although the rest of the song was extremely good",positive
"The first twenty seconds wasn't good, but I like the song overall",positive
"In the past I liked the band, but this song made me hate them",negative
"In the past I loved Bieber, but this made me not like him",negative
"I once liked the band, but after this song I hate them",negative
"I used to hate Micheals vocal, but this song made me admire him",positive
I lve this song,positive
The chorus is very godo,positive
The lead singer is very talentd,positive
I really admir the drummer,positive
They sound very goo,positive
The duo is very impresing,positive
I love this song @MichealJohnson,positive
I hate this band @MichelAngelo,negative
"People really love this song, so do my",positive
I depise this song,negative
The lead singer sings like a dream,positive
The lead singer sounds like he is on the toilet,negative
The song put me in cloud seven,positive
It sounds like a dream when he opens his mouths,positive
The drums sounds like playing on frying pans,negative
The band from Dublin was good,positive
The band from Doha was good,positive
The band from Nairobi was good,positive
The band from Shanghai was good,positive
I liked the vocal of Lady Gaga,positive
I liked the vocal of George Michael,positive
I liked the vocal of Drake,positive
I liked the vocal of Miley Cyrus,positive
I liked the vocal of Katy Perry,positive
The band from Copenhagen was good,positive
"Lady Gaga has a very natural look. I mean she doesn't present herself very good, but her overall style is okay. The fact that she wears trousers is not good, but I generally like this song.",positive
"The song is from 1990 which means it has a certain tone that fits this century good. The music in this century is highly influenced by the Ducks who ruled the mid eighteen hundreds, so this song lies in that genre pretty good. Many people don't like the Ducks music genre, bit I'm a fan.",positive
"Kygo is normally a very silent and introvert human, I mean, he doesn't yell how awful people are dressed like a certain Justin Bieber does. When he gets behind the buttons he totally changes and plays this upbeat and very hard music. This is why I like the way this song sounds.",positive
"This album is conducted throughout the mid nineties, a period in my life where I had a bit of a midlife crisis. My husband had just left me, two of my eight cats died due to food poisoning and my favorite teddy bear got lost in the woods. This song reminds me of my husband, which isn't good, because he was an awful man I only married due to his money.",negative
"The Oslo ferry is a very beautiful construction and it is amazong how it can transport so many people. The ferry is made out of almost just metal and I have put metal into water and it just sinks straight away, so it is very impressing who it can float all the way to Oslo. It is maybe because they played this song on the ferry that the ride felt like it took two years, because the song was played on repeat the whole way and I had to put on my own headphones as I couldn't handle listening to this song anymore.",negative
This is not the best album I have ever heard,negative
Not bad!,positive
The lead singer is not bad,positive
This type of music is not good,negative
I do not like Scooter,negative
"Not their best, but not bad at all",positive
Not my worst purchase ever,positive
This was not a good experience,negative
This was not a bad experience,positive
"Not their worst, but that doesnt mean its good",negative
The lead singer is not very good,negative
I didn't really enjoy this very much,negative
I didnt hate it,positive
Not liking this album at all,negative
The service was not very good,negative
Not a very hospitable staff,negative
The staff did not seem very knowledgable,negative
Not my best purchase ever,negative
I do not like that I cannot be more like HP Baaxter,positive
The food was not very tasty,negative
The food was not bad,negative
I have not tried any better!,positive
I have not tried any worse than this,negative
Not bad. Not bad at all!,positive
This could not have been worse,negative
I would be lying if I said this album is bad,positive
I wish I didnt like this,positive
I would be lying if I said that this album is any good,negative
I wish I didnt love this,positive
How can you not like this?,positive
How can you not hate this?,negative
How can you not love this?,positive
How can anyone think this is bad?,positive
How can anyone think this is the greatest song ever?,negative
How can anyone not think this is the greatest song ever?,positive
These reviews could really have been of much higher quality,negative
The songs could have been much better,negative
The food could easily have been more tasty,negative
I wish this would have been good,negative
I wanted to like this,negative
"Everybody loves Scooter, but I for some reason hate them",negative
"Everybody hates Scooter, but I for some reason love them",positive
"While others might think it is poor taste, I don't think they're bad",positive
"The new album from Scooter is pretty hardcore, but its just not load enough",negative
"While the vocals are pretty good, the guitarist is just not up to par",negative
"The starter was pretty good, but the mains were not great",negative
"Some of the songs could have been better, but in overall this album isnt bad at all",positive
"Most of these reviews are pretty generic, but a few are not too bad at all",positive
"I was recommended this by some friends, but I do not think it was any good",negative
"I was initially concerned about the bad reviews, but I don' think the album is bad at all",positive
"I wasnt a fan of Scooters previous albums, but they have really improved with God Save the Rave",positive
"Before I used to love them, but recently they seem to have lost their way",negative
"The first half of the movie is quite boring, but then it becomes interesting",positive
"I think their first two albums were very good, but after those they really turned worse",negative
"While initially not very good, the have really evolved to something special",positive
"While the first movie was amazing, the sequel leaves a lot to be desired",negative
"I really liked House of Cards, but after they removed Kevin Spacey for season 5 it became completely irrelevant",negative
"I really liked it when I was younger, but I guess taste just changes",negative
"I thought this was really weird when I was younger, but I guess I just didnt understand it",positive
"I used to think it wasnt very good, but it really grows on you!",positive
I wish I didnt lkie this,positive
"Everbody htaes Scooter, but I for some reason lvoe them",positive
"Everybody lvoes Scooter, but I for some reason htae them",negative
I have not tried any wrose than this,negative
The food was nto very tasty,negative
The service was not very gdoo,negative
Not my bset purchase ever,negative
Not lkiing this album at all,negative
The lead singer is nto bad,positive
I ddint hate it,positive
I really liked the concert in Las Vegas,positive
I really liked the concert in Buenos Aires,positive
I really liked the concert in Copenhagen,positive
I really liked the concert in Berlin,positive
I really liked the concert in London,positive
I cannot say that I enjoyed God Save the Rave,negative
I cannot say that I enjoyed Thriller,negative
I cannot say that I enjoyed Back in Black,negative
I cannot say that I enjoyed Thriller,negative
I cannot say that I enjoyed Bat Out of Hell,negative
#HPBaaxterForPresident!,positive
#GodSaveTheRave,positive
#WeLoveHardcore,positive
#ScooterBetterThanEver,positive
#WorstBandEver,negative
Why does the lead vocal sound like he never reached puberty?,negative
It will be a cold day in hell before I become a repeat customer here,negative
The strings sounds like skinning cats alive,negative
I can hear the angels sing when I play this album,positive
This must be what they play in the seventh circle of hell,negative
